Time,Speed_1,Speed_2,Speed_3,Speed_4,Speed_5
0.0,20.0,20.0,20.0,20.0,20.0
0.1,20.1,19.99,19.99,19.99,19.99
0.2,20.2,19.98,19.98,19.98,19.98
0.30000000000000004,20.3,19.98,19.97,19.97,19.97
0.4,20.4,19.98,19.96,19.96,19.96
0.5,20.5,19.99,19.95,19.95,19.95
0.6000000000000001,20.6,19.99,19.95,19.94,19.94
0.7000000000000001,20.7,20.0,19.94,19.94,19.94
0.8,20.8,20.01,19.93,19.93,19.93
0.9,20.9,20.03,19.93,19.92,19.92
1.0,20.99,20.04,19.92,19.91,19.91
1.1,21.09,20.06,19.91,19.9,19.9
1.2000000000000002,21.19,20.08,19.91,19.89,19.89
1.3,21.29,20.1,19.91,19.88,19.88
1.4000000000000001,21.38,20.13,19.91,19.88,19.87
1.5,21.48,20.15,19.9,19.87,19.87
1.6,21.57,20.18,19.9,19.86,19.86
1.7000000000000002,21.67,20.21,19.9,19.86,19.85
1.8,21.76,20.24,19.9,19.85,19.84
1.9000000000000001,21.85,20.27,19.91,19.84,19.83
2.0,21.95,20.3,19.91,19.84,19.83
2.1,22.04,20.34,19.91,19.83,19.82
2.2,22.13,20.37,19.92,19.83,19.81
2.3000000000000003,22.22,20.41,19.92,19.82,19.8
2.4000000000000004,22.31,20.45,19.93,19.82,19.8
2.5,22.4,20.49,19.94,19.81,19.79
2.6,22.48,20.52,19.95,19.81,19.78
2.7,22.57,20.56,19.96,19.8,19.78
2.8000000000000003,22.66,20.61,19.97,19.8,19.77
2.9000000000000004,22.74,20.65,19.98,19.8,19.76
3.0,22.82,20.69,19.99,19.8,19.76
3.1,22.91,20.73,20.0,19.8,19.75
3.2,22.99,20.78,20.02,19.8,19.74
3.3000000000000003,23.07,20.82,20.03,19.79,19.74
3.4000000000000004,23.14,20.87,20.05,19.8,19.73
3.5,23.22,20.91,20.06,19.8,19.73
3.6,23.3,20.96,20.08,19.8,19.72
3.7,23.37,21.0,20.1,19.8,19.72
3.8000000000000003,23.44,21.05,20.12,19.8,19.71
3.9000000000000004,23.52,21.1,20.14,19.8,19.71
4.0,23.59,21.14,20.16,19.81,19.71
4.1000000000000005,23.66,21.19,20.18,19.81,19.7
4.2,23.72,21.24,20.2,19.82,19.7
4.3,23.79,21.28,20.22,19.82,19.7
4.4,23.85,21.33,20.24,19.83,19.69
4.5,23.92,21.38,20.27,19.83,19.69
4.6000000000000005,23.98,21.43,20.29,19.84,19.69
4.7,24.04,21.48,20.32,19.85,19.69
4.800000000000001,24.1,21.53,20.34,19.85,19.69
4.9,24.15,21.57,20.37,19.86,19.69
5.0,24.21,21.62,20.39,19.87,19.68
5.1000000000000005,24.26,21.67,20.42,19.88,19.68
5.2,24.31,21.72,20.45,19.89,19.68
5.300000000000001,24.36,21.77,20.47,19.9,19.68
5.4,24.41,21.82,20.5,19.91,19.68
5.5,24.46,21.87,20.53,19.92,19.69
5.6000000000000005,24.5,21.92,20.56,19.93,19.69
5.7,24.54,21.96,20.59,19.95,19.69
5.800000000000001,24.58,22.01,20.62,19.96,19.69
5.9,24.62,22.06,20.65,19.97,19.69
6.0,24.66,22.11,20.68,19.99,19.7
6.1000000000000005,24.7,22.16,20.71,20.0,19.7
6.2,24.73,22.2,20.74,20.02,19.7
6.300000000000001,24.76,22.25,20.78,20.03,19.71
6.4,24.79,22.3,20.81,20.05,19.71
6.5,24.82,22.34,20.84,20.06,19.72
6.6000000000000005,24.84,22.39,20.87,20.08,19.72
6.7,24.87,22.44,20.91,20.1,19.73
6.800000000000001,24.89,22.48,20.94,20.11,19.73
6.9,24.91,22.53,20.97,20.13,19.74
7.0,24.93,22.57,21.01,20.15,19.74
7.1000000000000005,24.94,22.62,21.04,20.17,19.75
7.2,24.96,22.66,21.08,20.19,19.76
7.300000000000001,24.97,22.71,21.11,20.21,19.77
7.4,24.98,22.75,21.15,20.23,19.77
7.5,24.99,22.8,21.18,20.25,19.78
7.6000000000000005,24.99,22.84,21.22,20.27,19.79
7.7,25.0,22.88,21.25,20.29,19.8
7.800000000000001,25.0,22.92,21.29,20.31,19.81
7.9,25.0,22.96,21.32,20.34,19.82
8.0,25.0,23.0,21.36,20.36,19.83
8.1,24.99,23.04,21.39,20.38,19.84
8.200000000000001,24.99,23.08,21.43,20.4,19.85
8.3,24.98,23.12,21.47,20.43,19.86
8.4,24.97,23.16,21.5,20.45,19.88
8.5,24.96,23.2,21.54,20.47,19.89
8.6,24.94,23.24,21.57,20.5,19.9
8.700000000000001,24.93,23.27,21.61,20.52,19.91
8.8,24.91,23.31,21.65,20.55,19.93
8.9,24.89,23.34,21.68,20.57,19.94
9.0,24.87,23.38,21.72,20.6,19.95
9.1,24.85,23.41,21.75,20.62,19.97
9.200000000000001,24.82,23.44,21.79,20.65,19.98
9.3,24.79,23.47,21.82,20.68,20.0
9.4,24.76,23.5,21.86,20.7,20.01
