Time,Speed1,Speed2,Speed3,Speed4,Speed5
0.0,19.42545455,19.55818182,19.78363636,19.93181818,16.53909091
0.10000000000000142,19.42777778,19.57,19.8,19.96444444,16.48777778
0.20000000000000284,19.42727273,19.58090909,19.82090909,20.00090909,16.43636364
0.29999999999999716,19.42777778,19.59222222,19.84444444,20.04444444,16.38333333
0.3999999999999986,19.42909091,19.60181818,19.86727273,20.07727273,16.33454545
0.5,19.42888889,19.61111111,19.88444444,20.11444444,16.28777778
0.6000000000000014,19.43272727,19.62090909,19.89818182,20.15,16.24363636
0.7000000000000028,19.43444444,19.62888889,19.91888889,20.18777778,16.21
0.7999999999999972,19.43272727,19.64272727,19.94363636,20.22272727,16.18090909
0.8999999999999986,19.43333333,19.65111111,19.96111111,20.26111111,16.15888889
1.0,19.43636364,19.66090909,19.98181818,20.29090909,16.14272727
1.1000000000000014,19.43555556,19.67111111,19.99555556,20.32333333,16.14
1.2000000000000028,19.43636364,19.68,20.01454545,20.36545455,16.13727273
1.2999999999999972,19.43666667,19.69222222,20.03222222,20.38666667,16.13777778
1.3999999999999986,19.43545455,19.70363636,20.05090909,20.41727273,16.13
1.5,19.43555556,19.71888889,20.06444444,20.45111111,16.13
1.6000000000000014,19.43272727,19.73454545,20.08181818,20.48090909,16.13
1.7000000000000028,19.43111111,19.74444444,20.09777778,20.50333333,16.13
1.7999999999999972,19.43,19.75727273,20.11181818,20.53454545,16.13636364
1.8999999999999986,19.42555556,19.77222222,20.12555556,20.56444444,16.14111111
2.0,19.41909091,19.79090909,20.13727273,20.59272727,16.14909091
2.1000000000000014,19.41111111,19.80333333,20.14777778,20.61555556,16.16
2.200000000000003,19.41,19.81454545,20.16272727,20.63090909,16.16727273
2.299999999999997,19.40333333,19.82555556,20.17222222,20.66,16.17888889
2.3999999999999986,19.39909091,19.84181818,20.18272727,20.69363636,16.18818182
2.5,19.39666667,19.85333333,20.19111111,20.71333333,16.2
2.6000000000000014,19.39090909,19.86636364,20.20272727,20.74,16.21
2.700000000000003,19.39,19.87666667,20.21333333,20.75666667,16.22
